REF_DATE,GEO,DGUID,Indicator,Type of use,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1975,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,824
1976,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,1658
1976,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,825
1976,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,808
1976,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,17
1976,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,428
1976,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,406
1976,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,1658
1976,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,1637
1976,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,22
1976,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1976,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,884
1977,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,1766
1977,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,881
1977,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,863
1977,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,18
1977,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,453
1977,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,432
1977,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,1766
1977,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,1731
1977,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,34
1977,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1977,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,944
1978,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,1873
1978,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,996
1978,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,977
1978,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,20
1978,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,417
1978,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,459
1978,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,1873
1978,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,1822
1978,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,51
1978,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1978,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,1044
1979,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,1981
1979,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,1057
1979,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,1036
1979,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,21
1979,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,438
1979,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,486
1979,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,1981
1979,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,1914
1979,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,67
1979,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1979,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,1106
1980,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,2090
1980,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,1118
1980,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,1096
1980,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,22
1980,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,459
1980,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,513
1980,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,2090
1980,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,2005
1980,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,85
1980,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1980,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,1169
1981,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,2200
1981,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,1180
1981,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,1157
1981,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,23
1981,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,480
1981,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,540
1981,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,2200
1981,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,2097
1981,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,103
1981,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1981,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,1233
1982,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,2498
1982,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,1343
1982,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,1317
1982,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,26
1982,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,541
1982,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,614
1982,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,2498
1982,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,2365
1982,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,133
1982,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1982,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,1403
1983,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,2879
1983,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,1552
1983,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,1522
1983,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,30
1983,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,619
1983,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,707
1983,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,2879
1983,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,2708
1983,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,171
1983,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1983,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,1619
1984,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,3082
1984,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,1666
1984,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,1634
1984,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,32
1984,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,658
1984,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,757
1984,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,3082
1984,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,2879
1984,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,202
1984,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1984,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,1737
1985,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,3324
1985,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,1902
1985,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,1867
1985,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,34
1985,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,604
1985,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,819
1985,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,3324
1985,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,3073
1985,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,251
1985,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1985,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,1946
1986,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,3702
1986,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,2122
1986,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,2084
1986,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,38
1986,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,668
1986,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,912
1986,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,3702
1986,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,3399
1986,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,303
1986,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1986,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,2170
1987,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,4092
1987,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,2351
1987,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,2309
1987,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,42
1987,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,733
1987,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,1009
1987,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,4092
1987,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,3732
1987,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,360
1987,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1987,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,2403
1988,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,4228
1988,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,2433
1988,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,2390
1988,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,43
1988,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,752
1988,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,1043
1988,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,4228
1988,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,3830
1988,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,398
1988,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1988,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,2486
1989,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,4316
1989,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,2489
1989,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,2445
1989,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,44
1989,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,762
1989,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,1065
1989,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,4316
1989,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,3884
1989,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,432
1989,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1989,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,2542
1990,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1990,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,4225
1990,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1990,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,2439
1990,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1990,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,2396
1990,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1990,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,43
1990,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1990,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,743
1990,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1990,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,1043
1990,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1990,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,4225
1990,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1990,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,3787
1990,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1990,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,438
1990,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1990,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
